clean_title,volume_count,page_count,num_of_unique_chrs,num_of_chrs,avg_chr_per_page,avg_chr_per_volume
Uchu yori mo toi basho,3,484,1029,43272,89.40495867768595,14424.0
Umareru Kachi no Nakatta Jibun,3,534,916,49822,93.29962546816479,16607.333333333332
Umi ga Hashiru End Roll,6,994,1253,99450,100.0503018108652,16575.0
Umibe no Onnanoko,2,419,1012,39869,95.1527446300716,19934.5
Uri o Waru,7,1164,1261,113133,97.19329896907216,16161.857142857143
Urusei Yatsura,34,6272,1973,880252,140.34630102040816,25889.764705882353
Usagi no Furafura,2,306,726,19259,62.93790849673203,9629.5
Usemono Yado,1,190,713,19610,103.21052631578948,19610.0
Ushio to Tora,27,4763,2220,649657,136.39659878228008,24061.37037037037
Usogui,43,8930,2554,1037044,116.13034714445689,24117.302325581397
Usotsuki Paradox,10,1976,1387,197065,99.72925101214575,19706.5
Usuzumi no Hate,2,456,943,33352,73.14035087719299,16676.0
UsuzumiNoHate,1,192,717,17720,92.29166666666667,17720.0
Uzumaki,3,647,1091,70544,109.03245749613602,23514.666666666668
Vagabond,37,7798,2013,393193,50.42228776609387,10626.837837837838
Vampire Knight,20,3823,1995,416062,108.8312843316767,20803.1
Vanilla Spider,3,585,834,45291,77.42051282051283,15097.0
Vanitas no Shuki,10,2334,1674,210764,90.30162810625535,21076.4
Vinland Saga,26,5219,1852,426452,81.71143897298333,16402.0
Vivarium de Choushoku wo,1,200,708,16514,82.57,16514.0
WORKING!!,13,1933,1717,460375,238.16606311433006,35413.46153846154
Wallman,3,674,1058,40355,59.87388724035608,13451.666666666666
Watakushi no Shonen,9,1497,1437,161984,108.2057448229793,17998.222222222223
Watamote,26,3957,2097,673793,170.27874652514532,25915.115384615383
Watashi ni Tenshi ga Maiorita!,12,1919,1300,225517,117.51797811360083,18793.083333333332
Watashi no Kobushi wo Uketomete!,4,708,915,71101,100.42514124293785,17775.25
Watashi no shiawasena kekkon,3,554,1186,54347,98.09927797833934,18115.666666666668
Worlds End Harem,18,3288,1858,312016,94.89537712895377,17334.222222222223
Wotaku ni Koi wa Muzukashii,11,1470,1493,203706,138.57551020408164,18518.727272727272
Yagate Kimi ni Naru,8,1503,1230,116036,77.20292747837658,14504.5
Yaiteru Futari,11,1820,1391,189855,104.31593406593407,17259.545454545456
Yakedo Shoujo,4,708,901,48292,68.2090395480226,12073.0
YamadaKun To 7Nin No Majo,5,985,1116,131122,133.1187817258883,26224.4
Yamikin Ushijima-kun,46,9828,2412,1061803,108.03856328856328,23082.67391304348
Yankee JK Kuzuhana-chan,13,2084,1504,298341,143.15786948176583,22949.30769230769
Yesterday wo Utatte,11,2500,1640,301569,120.6276,27415.363636363636
YoRHa yoruha shinjuwan kouka sakusen kiroku,3,549,970,40800,74.31693989071039,13600.0
Yofukashi no Uta,20,4024,1543,426353,105.95253479125249,21317.65
Yomawari Sensei,9,1790,1509,172163,96.1804469273743,19129.222222222223
